MSOACD,NaPTANID,Distance
E02001745,9100CRMLNGT,5554.74867325
E02001742,9100BRWHINS,9178.41137462
E02001743,9100BRWHINS,9127.54177834
E02001740,9100BRWHINS,9964.86606113
E02001741,9100CRMLNGT,4729.05333991
E02001748,9100CRMLNGT,8302.55002981
E02001749,9100CRMLNGT,6685.90709085
E02001816,9100SNDRLND,4218.79507493
E02001817,9100SNDRLND,3876.41956564
E02001814,9100SNDRLND,2381.26661564
E02001815,9100CLST,4253.141564
E02001812,9100SNDRLND,1769.59314548
E02001813,9100SNDRLND,3465.29338298
E02001810,9100CLST,4864.20269712
E02006812,9100GYPSYLA,1229.02025193
E02006893,9100BLAYDON,3770.97235057
E02001811,9100SNDRLND,4264.04739155
E02006811,9100GYPSYLA,591.188179761
E02001818,9100SEAHAM,3818.89336444
E02001819,9100SNDRLND,5164.10527217
E02002556,9100EGLSCLF,2985.74398314
E02002557,9100EGLSCLF,2211.88874314
E02002554,9100TABY,3091.254008
E02002555,9100ALLENSW,515.642208616
E02002552,9100TABY,1521.41542257
E02002553,9100TABY,2099.82649956
E02002550,9100STOCTON,1765.07829766
E02002551,9100TABY,642.778849786
E02002558,9100YAAM,586.844370022
E02002559,9100NTRD,2496.33454939
E02001756,9100MANORS,4715.11765223
E02001757,9100BRWHINS,6035.06611828
E02001754,9100BRWHINS,6452.18711575
E02001755,9100MANORS,5992.0382545
E02001752,9100BRWHINS,6909.53749628
E02001753,9100BRWHINS,6846.44755445
E02001750,9100BRWHINS,7404.93798046
E02001751,9100MANORS,6190.83621777
E02001758,9100BRWHINS,6779.06242367
E02001759,9100BRWHINS,5713.08784727
E02004297,9100BLAYDON,7463.9231089
E02004296,9100CLST,4739.81124829
E02004295,9100CLST,3313.22036661
E02004294,9100CLST,859.885213052
E02004293,9100CLST,661.021255359
E02004292,9100CLST,1193.54949912
E02004291,9100CLST,2947.73489965
E02004290,9100CLST,3751.4518807
E02004299,9100CLST,7597.63239612
E02004298,9100STCKSFL,9461.1716198
E02002526,9100SBRN,2326.95407465
E02002527,9100SBRN,5908.85870126
E02002524,9100SBRN,2810.10929317
E02002525,9100STHBANK,3448.68810993
E02002523,9100STHBANK,2453.47188202
E02002520,9100LONGBCK,346.929112474
E02002521,9100SBRN,336.206041171
E02002529,9100GYPSYLA,2702.55476648
E02001726,9100GTSHDMC,2756.43001029
E02001727,9100HEWORTH,3655.19034363
E02001724,9100MANORS,1558.9037882
E02001725,9100MANORS,2239.71200573
E02001722,9100BLAYDON,2871.31000723
E02001723,9100GTSHDMC,3274.84723635
E02001720,9100MANORS,2299.08926926
E02001721,9100BLAYDON,3776.74966591
E02001728,9100BLAYDON,1705.4033333
E02001729,9100NWCSTLE,1793.23844512
E02004346,9100FROSTLY,15534.9414805
E02004347,9100BSAUKLD,19979.4475138
E02004344,9100NWTA,876.472704506
E02004345,9100BSAUKLD,8672.37486051
E02004342,9100NWTA,1046.09657531
E02004343,9100NWTA,1918.87227094
E02004340,9100SHDN,723.165352675
E02004341,9100NWTA,1866.0516778
E02004348,9100FROSTLY,1495.09756673
E02004349,9100BSAUKLD,8216.04984005
E02005724,9100MRPTHRP,709.063834888
E02005732,9100RIDNGML,645.794684723
E02001686,9100BLAYDON,1078.6871513
E02005246,9100COLNE,356.116573029
E02005247,9100NLSN,1681.44811927
E02005244,9100COLNE,729.453833682
E02005245,9100COLNE,2516.06243891
E02005242,9100COLNE,6960.87051379
E02005243,9100COLNE,1539.3635037
E02005240,9100COLNE,7342.96183832
E02005241,9100COLNE,6678.90243128
E02001236,9100SBYD,564.156504188
E02001237,9100SBYD,1626.40064396
E02001234,9100ASHONUL,801.333012596
E02001235,9100ASHONUL,1026.62006513
E02001232,9100ASHONUL,1541.89397949
E02001233,9100ASHONUL,1168.70477916
E02001230,9100ASHONUL,1713.10082906
E02005248,9100NLSN,882.359863445
E02001231,9100MOSSLEY,1564.57346188
E02005249,9100NLSN,649.242589519
E02001238,9100FRFD,1738.50363955
E02001239,9100FRFD,1582.50849201
E02002636,9100LAYTON,813.576987645
E02002637,9100LAYTON,678.538584885
E02002634,9100LAYTON,2407.5909336
E02002635,9100LAYTON,2190.32907002
E02002632,9100ENTWISL,210.511064165
E02002633,9100LAYTON,3888.51803932
E02002630,9100DARWEN,422.873251745
E02002631,9100DARWEN,1479.75599581
E02002638,9100BLCKPLN,1008.49070497
E02002639,9100LAYTON,975.357475755
E02003976,9100ASPTRIA,21817.5382788
E02003977,9100ASKAM,875.943325524
E02003974,9100WKNT,1557.97619458
E02003972,9100WKNT,2152.91655164
E02003973,9100WKNT,1317.33539478
E02003970,9100MPRT,7682.93529693
E02003971,9100MPRT,10520.0809535
E02003978,9100DALTON,130.24767115
E02003979,9100BAROW,1825.00751917
E02001106,9100MLSHILL,3816.85272005
E02001187,9100REDISHN,498.679213829
E02001186,9100IRLAM,626.263153609
E02001107,9100MLSHILL,1832.45705792
E02001185,9100FLIXTON,2239.90138799
E02001104,9100GFLD,5015.59488689
E02001184,9100SLFDCT,1454.1598816
E02001105,9100MLSHILL,2952.18085687
E02001183,9100PTRCRFT,803.625150828
E02001102,9100MLSHILL,4616.87646055
E02001182,9100PTRCRFT,834.232685253
E02001103,9100GFLD,3194.39976754
E02001181,9100PTRCRFT,1026.89332452
E02001100,9100RCHDALE,5466.29261696
E02001180,9100SLFDCT,550.834893747
E02001101,9100CSTL,3637.81662198
E02001108,9100MLSHILL,5252.05406092
E02001189,9100REDISHS,467.260815468
E02001109,9100GFLD,4661.16917267
E02001188,9100REDISHN,848.963588061
E02001056,9100ASHBRYS,2181.62416702
E02001057,9100MNCRPIC,1205.13445072
E02006871,9100BARELA,1226.11270928
E02001055,9100MSTN,2780.11339416
E02001052,9100MNCRVIC,2626.14752475
E02001053,9100MNCRVIC,3001.91890607
E02001050,9100MSTN,3037.00579468
E02001051,9100MSTN,1993.75049304
E02003816,9100CONGLTN,1668.78329149
E02003817,9100CONGLTN,2998.7448659
E02004006,9100BRYSTNS,2287.74509369
E02003814,9100WNSFD,3754.50335619
E02001059,9100ASHBRYS,956.344609137
E02004007,9100MLLM,262.754180216
E02003815,9100CONGLTN,1012.93526813
E02004004,9100CRCK,1323.74433311
E02003812,9100HCHP,596.327795472
E02004005,9100STBEES,3725.10162737
E02003813,9100WNSFD,2973.88554637
E02004002,9100CRCK,973.684260647
E02003810,9100WCHR,11911.9485451
E02003891,9100DELAMER,7264.7505632
E02004003,9100CRCK,4908.93095326
E02003811,9100GOOSTRY,1055.35064475
E02003890,9100WNSFD,2461.71065676
E02004000,9100PARTON,1748.26675729
E02004001,9100WHITHVN,634.911744231
E02003818,9100CONGLTN,286.341529066
E02003819,9100SBCH,1590.87751271
E02004008,9100LAZKRKO,6306.53561162
E02004009,9100ARMTHWT,6878.41334472
E02001366,9100WVRTTEC,2452.56228615
E02001367,9100BROADGR,2360.29295685
E02001364,9100KRKDALE,1783.88453659
E02001365,9100KRKDALE,2515.42296307
E02001362,9100WVRTTEC,3176.5381377
E02001363,9100ROBY,2692.98314461
E02001360,9100KRKDALE,515.650403104
E02001361,9100KRKDALE,2383.79346317
E02001368,9100SANDH,850.497958048
E02001369,9100LVRPLSL,1450.93805861
E02005306,9100BESCRLA,2918.91919561
E02005307,9100BRSCGHJ,203.46179045
E02005304,9100CROT,4990.69122042
E02005305,9100MEOLSCP,5227.26401466
E02005302,9100LEYLAND,1115.95908111
E02005303,9100LEYLAND,2369.06573095
E02005300,9100LEYLAND,3198.29857047
E02005301,9100LEYLAND,1476.42312529
E02005308,9100PARBOLD,1036.83351732
E02005256,9100PRST,4038.10167051
E02005257,9100PRST,3858.45183802
E02005254,9100PRST,5858.06368039
E02005255,9100PRST,4007.89907754
E02005252,9100BRIERFL,400.946012391
E02005253,9100PRST,7803.12364137
E02005250,9100NLSN,401.287818062
E02005251,9100NLSN,1057.36226674
E02001206,9100ROHL,269.204119881
E02001287,9100APLYBDG,3361.88406819
E02001207,9100HAZL,1894.35583176
E02001286,9100HALE,2273.94241452
E02001204,9100STKP,1589.2364147
E02001285,9100HALE,815.580124942
E02001205,9100DAVNPRT,1235.65511002
E02001284,9100HALE,691.062471285
E02001202,9100STKP,618.40043191
E02001283,9100ALTRNHM,1254.98838267
E02001203,9100MARPLE,652.30911523
E02001282,9100NAVGTNR,288.056883037
E02001200,9100STKP,782.127984069
E02001281,9100NAVGTNR,1007.32302992
E02005258,9100PRST,2633.57892099
E02001201,9100STKP,1810.40945068
E02001280,9100NAVGTNR,2170.10517641
E02005259,9100PRST,3387.9827584
E02001208,9100CHDH,2031.37027272
E02001289,9100GATHRST,1516.14557674
E02001209,9100DAVNPRT,576.800719116
E02001288,9100GATHRST,3706.9693439
E02002587,9100RUNCRNE,606.37668303
E02002586,9100RUNCORN,2241.86351134
E02002585,9100RUNCORN,323.961348196
E02002584,9100RUNCORN,1312.23061013
E02002583,9100RUNCRNE,1748.08330477
E02002582,9100RUNCRNE,1029.09838885
E02002581,9100HOUGHGR,1857.34234748
E02002580,9100WIDNES,1575.1511476
E02002589,9100FRDSHM,2722.14373397
E02002588,9100RUNCRNE,1495.71175205
E02001466,9100KRKDALE,870.138824233
E02001467,9100NBTN,297.480717972
E02001464,9100BOOTLNS,672.804154246
E02001465,9100BOOTLNS,385.43028258
E02001462,9100SFRTHAL,336.682563472
E02001463,9100ORELPKH,985.24880988
E02001460,9100WLOO,819.292932981
E02001461,9100SFRTHAL,1388.89142722
E02001468,9100NBTN,1273.51894683
E02001469,9100WALASYV,365.613571298
E02002606,9100WRGT,763.506173188
E02002607,9100WRGTNBQ,119.647600381
E02002604,9100SANKEY,665.031213591
E02002605,9100SANKEY,1238.57012038
E02002602,9100WRGT,1379.77597233
E02002603,9100BIRCHWD,1547.6534929
E02002600,9100WRGT,1364.37855262
E02002601,9100PADGATE,531.967458166
E02002608,9100SANKEY,1030.37581615
E02002609,9100WRGT,2355.49966507
E02006934,9100MORFLDS,331.112454778
E02006932,9100LVRPLSH,111.497903263
E02001116,9100MOSSLEY,4135.71283241
